"ID do pedido","Status do pedido","Cancelar Motivo","Status da Devolução / Reembolso","Número de rastreamento","Data de criação do pedido","Nº de referência do SKU principal","Nome do Produto","Número de referência SKU","Nome da variação","Preço acordado","Quantidade","Valor Total","Taxa de comissão","Taxa de serviço","Total global","Valor estimado do frete","Nome de usuário (comprador)"
"240108BWK9GKW0","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-08 07:42","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.99","1","0.00","0.00","0.00","0.00","10.31","andersonrep1589"
"240108C08MTJAM","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-08 08:30","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","0.00","0.00","0.00","0.00","11.47","yqxe6n_rll"
"240108C0MSX865","Concluído","","","BR249561909539J","2024-01-08 08:36","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.99","1","47.99","5.76","6.84","47.99","10.31","lucianacorujachagascosta"
"240108C10YYGD8","Concluído","","","BR247340842995RSPXLM1170750","2024-01-08 08:43","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.99","2","95.98","11.52","13.68","95.94","10.31","eliegemorandi"
"240108C16CM50J","Concluído","","","BR246149692169ISPXLM1461111","2024-01-08 08:46","#F557","Suplemento Vitaminico Polivitamínico Bariátrico Catarinense C/30 Comprimidos - Kit C/3","#F557","","90.99","1","90.99","10.92","10.28","90.99","7.99","raqueflora"
"240108C220P35S","Concluído","","","BR245761654150GSPXLM1167420","2024-01-08 09:02","#F036","Ômega 3 Catarinense 1000mg Com 120 Cápsulas","#F036","","47.99","1","47.99","5.76","6.84","47.99","7.99","61htn56hlr"
"240108C2VBNW8P","Concluído","","","BR244431963107TSPXLM1464294","2024-01-08 09:16","#F346","Termogênico Emagrecedor Desodalina 600mg C/60 Cápsulas - Sanibras","#F346","","61.99","1","61.99","7.44","7.96","61.67","10.32","elwzabeth"
"240108C37TWBRY","Concluído","","","BR247413389891OSPXLM1170580","2024-01-08 09:23","#F790","Colágeno Tipo II Artro Ultra + Nutrientes Catarinense C/30 Cápsulas - Kit C/2","#F790","","109.99","1","109.99","13.20","11.80","109.99","6.84","1yteur2ddq"
"240108C4CE0MN1","Concluído","","","BR247932635865JSPXLM1169681","2024-01-08 09:43","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","4.56","6.04","37.99","11.47","denilvieira"
"240108C56P611U","Concluído","","","BR2456861497372","2024-01-08 09:58","#F223","Kit com 5 Helioderm Suncare Protetor Solar Corporal FPS 50 com 120ml","#F223","","162.99","1","162.99","19.56","16.04","162.99","10.31","cristinidomingos"
"240108C5D0AWKB","Concluído","","","BR245492874197QSPXLM1168946","2024-01-08 10:02","#F493","Kit C/5 Puro Amor Premium Lenço Umedecido QLB C/100un","#F493","","51.99","1","51.99","6.24","7.16","51.99","11.47","8ig9l_ld2o"
"240108C66925AM","Concluído","","","BR247949629771WSPXLM1174472","2024-01-08 10:16","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","4.56","6.04","35.70","9.16","rayanefoleis"
"240108C776U5N9","Cancelado","Cancelado pelo comprador. Motivo : É necessário modificar o pedido","","","2024-01-08 10:34","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","0.00","0.00","0.00","0.00","10.32","hm5000"
"240108C7G07EC8","Concluído","","","BR2420928857494SPXLM1462439","2024-01-08 10:39","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.99","1","47.99","5.76","6.84","47.37","7.99","elizabethsalgado505"
"240108C86XGS31","Concluído","","","BR2481247133353","2024-01-08 10:52","#F495","Suplemento Alimentar Catarinense Poli vitamínico Multi Kids C/150ml","#F495","","23.99","1","23.99","2.88","4.92","23.99","10.31","sandraprange"
"240108C8QV6CPP","Concluído","","","BR248244749564PSPXLM1170594","2024-01-08 11:01","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","46.99","1","46.99","5.64","6.76","46.99","17.25","meire539"
"240108C90REUW8","Concluído","","","BR243906823035SSPXLM1461581","2024-01-08 11:06","#F593","Colágeno Tipo 2 + Vitaminas FlexiGold Herbamed 2 Special Pack C/2 Frascos de 30 Cápsulas Cada","#F593","","77.99","1","77.99","9.36","9.24","77.93","9.16","lourdespacente"
"240108CAWQNT48","Concluído","","","BR244529493115TSPXLM1174087","2024-01-08 11:40","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","2","75.98","9.00","12.00","64.95","10.32","doguinho_de_botas"
"240108CCBP6TGU","Concluído","","","BR240597344605WSPXLM1172081","2024-01-08 12:06","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","4.56","6.04","37.99","9.16","fabianaferreiranunes"
"240108CCC7BWT6","Concluído","","","BR2474422451221SPXLM1460840","2024-01-08 12:06","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","46.99","2","93.98","11.28","13.52","93.98","6.84","mayaragzqz"
